name;bool_val
Шадринск;1
Шатрово;1
Шумиха;1
Щучье;1
Юргамыш;1
Альменево;1
Белая;1
Большое Солдатское;1
Глушково;1
Горшечное;1
Дмитриев-Льговский;1
Железногорск;1
Золотухино;1
Касторное;1
Конышевка;1
Коренево;1
Курск;1
Курчатов;1
Кшенский;1
Льгов;1
Мантурово;1
Медвенка;1
Обоянь;1
Поныри;1
Пристень;1
Прямицыно;1
Рыльск;1
Суджа;1
Тим;1
Фатеж;1
Хомутовка;1
Черемисиново;1
Щигры;1
Грязи;1
Данхов;1
Доброе;1
Долгоруково;1
Елец;1
Задонск;1
Измалково;1
Казинка;1
Лебедянь;1
Лев Толстой;1
Липецк;1
Тербуны;1
Усмань;1
Хлевное;1
Чаплыгин;1
Анадырь;0
Атка;0
Балыгычан;0
Беринговский;0
Билибино;0
Большевик;0
Ванкарем;0
Иульитин;0
Кадыкчан;0
Лаврентия;0
Магадан;0
Мыс Шмидта;0
Ола;0
Омонск;0
Омсукчан;0
Палатка;0
Певек;0
Провидения;0
Сеймчан;0
Синегорье;0
Сусуман;0
Усть-Белая;0
Усть-Омчуг;0
Эвенск;0
Эгвекинот;0
Ягодное;0
Волжск;1
Дубовский;1
Звенигово;1
Йошкар-Ола;1
Килемары;1
Козьмодемьянск;1
Куженер;1
Мари-Турек;1
Медведево;1
Морки;1
Новый Торьял;1
Оршанка;1
Параньга;1
Сернур;1
Советский;1
Юрино;1
Ардатов;1
Атюрьево;1
Атяшево;1
Большие Березники;1
Большое Игнатово;1
Выша;1
Ельники;1
Зубова Поляна;1
Инсар;1
Кадошкино;1
Кемля;1
Ковылкино;1
Комсомольский;1
Кочкурово;1
Краснослободск;1
Лямбирь;1
Ромоданово;1
Рузаевка;1
Саранск;1
Старое Шайгово;1
Темников;1
Теньгушево;1
Торбеево;1
Чамзинка;1
Апатиты;1
Африканда;1
Верхнетуломский;1
Заозерск;1
Заполярный;1
Зареченск;1
Зашеек;1
Зеленоборский;1
Кандалакша;1
Кильдинстрой;1
Кировск;1
Ковдор;1
Кола;1
Конда;1
Мончегорск;1
Мурманск;1
Мурмаши;1
Никель;1
Оленегорск;1
Полярные Зори;1
Полярный;1
Североморск;1
Снежногорск;1
Умба;1
Ардатов;1
Арзамас;1
Арья;1
Балахна;1
Богородск;1
Большереченск;1
Большое Болдино;1
Большое Козино;1
Большое Мурашкино;1
Большое Пикино;1
Бор;1
Бутурлино;1
Вад;1
Варнавино;1
Васильсурск;1
Вахтан;1
Вача;1
Велетьма;1
Ветлуга;1
Виля;1
Вознесенское;1
Володарск;1
Воротынец;1
Ворсма;1
Воскресенское;1
Выездное;1
Выкса;1
Гагино;1
Гидроторф;1
Горбатов;1
Горбатовка;1
Городец;1
Горький;1
Дальнее Константиново;1
Дзержинск;1
Дивеево;1
Досчатое;1
Заволжье;1
Катунки;1
Керженец;1
Княгинино;1
Ковернино;1
Красные Баки;1
Кстово;1
Кулебаки;1
Лукоянов;1
Лысково;1
Навашино;1
Нижний Новгород;1
Павлово;1
Первомайск;1
Перевоз;1
Пильна;1
Починки;1
Саров;1
Сергач;1
Сеченово;1
Сосновское;1
Спасское;1
Тонкино;1
Тоншаево;1
Уразовка;1
Урень;1
Чкаловск;1
Шаранга;1
Шатки;1
Шахунья;1
Анциферово;1
Батецкий;1
Большая Вишера;1
Боровичи;1
Валдай;1
Волот;1
Деманск;1
Зарубино;1
Кресцы;1
Любытино;1
Малая Вишера;1
Марево;1
Мошенское;1
Новгород;1
Окуловка;1
